SEIL;DER;26/03/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB005639";26;R$ 13,128.15;sim
SEIL;DER;26/03/2025;755;"Duplicação Ponta Grossa ¿ Palmeira e implantação do Contorno Rodoviário de Palmeira - PR-151 - 49,11km
- VALOR CO R$ 294.660.000,00 | 2025OB005640";26;R$ 200.99;sim
SEIL;DER;26/03/2025;755;REABILITAÇÃO/RESTAURAÇÃO COM AMPLIAÇÃO DE CAPACIDADE PR-180 trecho Goioerê, SEGMENTO KM 217,02 AO KM 228,15, EXTENSÃO APROXIMADA 11,13KM -12 MESES | 2025OB005641;26;R$ 5,811,624.43;sim
SEIL;DER;26/03/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê, no trecho de acesso secundário Goioerê/Quarto Centenário | 2025OB005642;26;R$ 1,227,028.45;sim
SEIL;DER;27/03/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê, no trecho de acesso secundário Goioerê/Quarto Centenário | 2025OB005754;26;R$ 3,853.65;sim
SEIL;DER;27/03/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê, no trecho de acesso secundário Goioerê/Quarto Centenário | 2025OB005755;26;R$ 3,188.25;sim
SEIL;DER;27/03/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê, no trecho de acesso secundário Goioerê/Quarto Centenário | 2025OB005756;26;R$ 4,851.74;sim
SEIL;DER;27/03/2025;755;Restauração com ampliação de capacidade da rodovia PR-180 trecho Goioerê, no trecho de acesso secundário Goioerê/Quarto Centenário | 2025OB005757;26;R$ 309,243.53;sim
SEIL;DER;31/03/2025;755;REABILITAÇÃO/RESTAURAÇÃO COM AMPLIAÇÃO DE CAPACIDADE PR-180 trecho Goioerê, TRECHO AC. SECUND. GOIOERÊ¿IV CENTENÁRIO (A), SEGMENTO KM 217,02 AO KM 228,15, EXTENSÃO APROXIMADA 11,13KM -12 MESES | 2025OB005925;26;R$ 87,712.35;sim
SEIL;DER;31/03/2025;755;REABILITAÇÃO/RESTAURAÇÃO COM AMPLIAÇÃO DE CAPACIDADE PR-180 trecho Goioerê, TRECHO AC. SECUND. GOIOERÊ¿IV CENTENÁRIO (A), SEGMENTO KM 217,02 AO KM 228,15, EXTENSÃO APROXIMADA 11,13KM -12 MESES | 2025OB005926;26;R$ 72,567.35;sim
SEIL;DER;31/03/2025;755;REABILITAÇÃO/RESTAURAÇÃO COM AMPLIAÇÃO DE CAPACIDADE PR-180 trecho Goioerê, TRECHO AC. SECUND. GOIOERÊ¿IV CENTENÁRIO (A), SEGMENTO KM 217,02 AO KM 228,15, EXTENSÃO APROXIMADA 11,13KM -12 MESES | 2025OB005927;26;R$ 110,429.85;sim
SESP;SESP;11/04/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé. | 2025OB029064;6;R$ 138,479.03;sim
SESP;SESP;11/04/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé. | 2025OB029065;6;R$ 7,408.70;sim
SESP;SESP;14/04/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé. | 2025OB029188;6;R$ 4,725.76;sim
SESP;SESP;14/04/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé. | 2025OB029189;6;R$ 252.83;sim
SESP;SESP;24/04/2025;755;Harpya | 2025OB032002;6;R$ 25,040,848.14;sim
SEED;FUNDEPAR;08/04/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB002587;12;R$ 3,043.69;sim
SEED;FUNDEPAR;08/04/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB002588;12;R$ 6,726.39;sim
SEED;FUNDEPAR;08/04/2025;755;Construir a Escola Estadual Professora Mireille Maria Franco Zanon Machado, no município de Mandirituba (Unidade Nova Escolar Lagoinha). | 2025OB002589;12;R$ 550,762.44;sim
SEED;FUNDEPAR;17/04/2025;755;Ampliar o Colégio Estadual Moradias Lobato - EF M P, no município de Curitiba/Curitiba | 2025OB003160;12;R$ 7,009.38;sim
SEED;FUNDEPAR;17/04/2025;755;Ampliar o Colégio Estadual Moradias Lobato - EF M P, no município de Curitiba/Curitiba | 2025OB003161;12;R$ 5,381.48;sim
SEED;FUNDEPAR;17/04/2025;755;Ampliar o Colégio Estadual Moradias Lobato - EF M P, no município de Curitiba/Curitiba | 2025OB003162;12;R$ 436,065.63;sim
SEED;FUNDEPAR;23/04/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB003211;12;R$ 4,596.55;sim
SEED;FUNDEPAR;23/04/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros - EF EM PROFIS, no município de Curitiba/Curitiba | 2025OB003212;12;R$ 323,963.20;sim
SEIL;DER;02/04/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB006083;26;R$ 6,436.01;sim
SEIL;DER;02/04/2025;755;Implantação da rodovia PR-990, no entroncamento da rodovia PR-364 e a cidade de Rebouças | 2025OB006084;26;R$ 16,090.04;sim
