Órgão;Vinculada;Data;Fonte;Descrição;Função;Valor Repassado;Despesa presente no plano de aplicação
SEIL;DER;22/01/2025;755;EXECUÇÃO DAS OBRAS DE RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB000811;26;R$ 2.547,60;sim
SEIL;DER;22/01/2025;755;EXECUÇÃO DAS OBRAS DE RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB000812;26;R$ 1.520,62;sim
SEIL;DER;22/01/2025;755;EXECUÇÃO DAS OBRAS DE RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB000813;26;R$ 1.518.010,83;sim
SEIL;DER;30/01/2025;755;REABILITAÇÃO/RESTAURAÇÃO COM AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB001787;26;R$ 2.945.854,82;sim
SESP;SESP;20/02/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé | 2025OB009803;6;R$ 4.555,41;sim
SESP;SESP;20/02/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé | 2025OB010026;6;R$ 133.487,27;sim
SESP;SESP;20/02/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé | 2025OB010027;6;R$ 133.482,34;sim
SESP;SESP;26/02/2025;755;Reforma e ampliação da sede da 11ª CIPM no município de Cambé | 2025OB011835;6;R$ 4.555,24;sim
SESP;SESP;27/02/2025;755;VIATURA TIPO AUTO BOMBA TANQUE - ABT | 2025OB011946;6;R$ 9.247.537,76;sim
SEED;FUNDEPAR;11/02/2025;755;Construção da Escola Estadual Professora Mireille Maria Franco Zanon Machado (Unidade Nova Escolar Lagoinha) | 2025OB000473;12;R$ 2.910,36;sim
SEED;FUNDEPAR;11/02/2025;755;Construção da Escola Estadual Professora Mireille Maria Franco Zanon Machado (Unidade Nova Escolar Lagoinha) | 2025OB000474;12;R$ 6.431,74;sim
SEED;FUNDEPAR;11/02/2025;755;Construção da Escola Estadual Professora Mireille Maria Franco Zanon Machado (Unidade Nova Escolar Lagoinha) | 2025OB000475;12;R$ 526.636,39;sim
SEED;FUNDEPAR;14/02/2025;755;Construção da Escola Estadual Professora Mireille Maria Franco Zanon Machado (Unidade Nova Escolar Lagoinha) | 2025OB000635;12;R$ 277,04;sim
SEED;FUNDEPAR;14/02/2025;755;Construção da Escola Estadual Professora Mireille Maria Franco Zanon Machado (Unidade Nova Escolar Lagoinha) | 2025OB000636;12;R$ 612,26;sim
SEED;FUNDEPAR;14/02/2025;755;Construção da Escola Estadual Professora Mireille Maria Franco Zanon Machado (Unidade Nova Escolar Lagoinha) | 2025OB000637;12;R$ 50.132,64;sim
SEED;FUNDEPAR;24/02/2025;755;Ampliação do Colégio Estadual Moradias Lobato | 2025OB000860;12;R$ 7.092,99;sim
SEED;FUNDEPAR;24/02/2025;755;Ampliação do Colégio Estadual Moradias Lobato | 2025OB000861;12;R$ 5.445,67;sim
SEED;FUNDEPAR;24/02/2025;755;Ampliação do Colégio Estadual Moradias Lobato | 2025OB000862;12;R$ 441.267,36;sim
SEED;FUNDEPAR;25/02/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros | 2025OB000965;12;R$ 8.025,09;sim
SEED;FUNDEPAR;25/02/2025;755;Ampliar o Colégio Estadual Nirlei Medeiros | 2025OB000966;12;R$ 565.605,05;sim
SEIL;DER;06/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB002197;26;R$ 44.146,61;sim
SEIL;DER;06/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB002198;26;R$ 36.523,96;sim
SEIL;DER;06/02/2025;755;AMPLIAÇÃO DE CAPACIDADE PR-180 | 2025OB002199;26;R$ 55.580,59;sim
SEIL;DER;18/02/2025;755;RESTAURAÇÃO EM WHITETOPPING-PRC-280 | 2025OB003190;26;R$ 11.411.555,02;sim
