Órgão;Vinculada;Data;Fonte;Descrição;Função;Valor Repassado;Despesa presente no plano de aplicação
SEED;FUNDEPAR;21/11/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | NF 4106 5º Medição | OB 2024OB009392;12;R$ 205.508,80;sim
SEED;FUNDEPAR;21/11/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | ISS | OB 2024OB009393;12;R$ 10.954,62;sim
SEED;FUNDEPAR;22/11/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | Imposto de Renda | OB 2024OB009491;12;R$ 2.629,11;sim
SEIL;DER;22/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | NF 4965, 4966, 4967 e 4968 | OB 2024OB024597;26;R$ 691.842,66;sim
SEIL;DER;22/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | Imposto de Renda | OB 2024OB024592;26;R$ 8.681,01;sim
SEIL;DER;22/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB024593;26;R$ 10.763,36;sim
SEIL;DER;22/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB024594;26;R$ 10.276,14;sim
SEIL;DER;22/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB024595;26;R$ 1.161,08;sim
SEIL;DER;22/11/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco | ISS | OB 2024OB024596;26;R$ 693,03;sim
SEED;FUNDEPAR;25/11/2024;755;Ampliação do Colégio Estadual Moradias Lobato | NF 1209 2º Medição | OB 2024OB009512;12;R$ 393.402,46;sim
SEED;FUNDEPAR;25/11/2024;755;Ampliação do Colégio Estadual Moradias Lobato | ISS | OB 2024OB009513;12;R$ 6.323,60;sim
SEED;FUNDEPAR;25/11/2024;755;Ampliação do Colégio Estadual Moradias Lobato | Imposto de Renda | OB 2024OB09514;12;R$ 4.854,97;sim
SEIL;DER;25/11/2024;755;Execução das obras de duplicação e restauração da rodovia PR-092/PRC - 466 NF 4960 | OB 2024OB024714;26;R$ 2.304.117,92;sim
SEIL;DER;27/11/2024;755;Consorcio Vale do Ribeira Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses | OB 2024OB024962;26;R$ 5.211,15;sim
SEIL;DER;29/11/2024;755;Dalba Engenharia e Empreend LTDA | Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 | NF 4953 | OB 2024OB025296;26;R$ 74.378,41;sim
SEED;FUNDEPAR;10/12/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | NF 452 - 5º Parcela | OB 2024OB010186;12;R$ 552.568,09;sim
SEED;FUNDEPAR;09/12/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | ISS | OB 2024OB010196;12;R$ 3.053,67;sim
SEED;FUNDEPAR;09/12/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | Imposto de Renda | OB 2024OB010224;12;R$ 6.748,44;sim
SEIL;DER;10/12/2024;755;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 | NF 4980 OB 2024OB026294;26;R$ 3.500.064,21;sim
SEIL;DER;10/12/2024;755;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 | ISS OB 2024OB026310;26;R$ 26.772,55;sim
